locus,sgRNA_target,gene_name,Ala,Arg,Asn,Ctr,Cys,Gln,Glu,Gly,Leu,Phe,Thr,Val
sll0869,aat,aat sll0869,-0.04496429296086417,-0.08874266472796181,-0.03877757912852149,-0.07074290114628633,-0.12932135406263687,0.0401444819112322,-0.11925299829379764,0.07489496308093474,-0.04513164606350163,-0.5295749374188142,-0.0970685568644885,-0.05900045113629721
slr0518,abfB,abfB,-0.31486490785702914,1.780359825318543,-0.5842493505831011,-0.6300355545094066,-0.8670975735070777,0.1295908061804535,-0.6563516130983647,-0.5018355390592153,0.19331075458609462,0.32245262710212536,-1.1862457825997959,-0.038335368131322226
sll0728,accA,accA sll0728,-1.9698904376732573,-1.8433943288012067,-1.8474544131388486,-1.8179696661079034,-1.653138294469277,-2.374444903012326,-1.8695282155628992,-1.652940918709801,-1.749350600701752,-2.1323359451555164,-1.5719275351191848,-2.3087642320576975
slr0435,accB,accB,-1.6513509337593955,-1.650140801140449,-2.9509542428446602,-2.1113232637405726,-2.2239717107884136,-1.864925889213591,-1.8266528113792042,-1.84351444270943,-1.7040653307020774,-1.4979778975202676,-2.159922644939696,-1.8743563336809448
sll0053,accC,accC,-2.5880654526967715,-1.7695790796100028,-2.959313207211993,-1.8884470649484693,-2.4079953726229952,-2.8260090214285047,-1.9547561865928411,-2.4721256405504577,-2.483991845500938,-2.213454305810957,-2.141034459033708,-2.3080197361540793
sll0336,accD,accD zfpA sll0336,-0.7068171754522867,-1.166475996803716,-1.6169248127310099,-1.1724391842373199,-1.1925341984793283,-2.2836655709356193,-1.4713105465930316,-0.8974682367744287,-1.38862478698052,-0.6529652196938927,-1.3207024841889647,-1.8933105601324831
sll1299,ackA,ackA sll1299,0.3257654621041441,0.06472028580161694,0.39826209172143573,0.3637629044307451,0.5388733313340048,0.22360819643187055,0.31306435509949637,0.4439403156701033,0.23120608444698415,0.23960792757182786,0.4088203990277864,0.2132269053627658
ssl2084,acp,acpP acp ssl2084,-2.715156437790118,-2.580923340786391,-3.214926744035215,-2.4222693270526885,-2.8189267633309605,-3.1558940413348693,-2.869086752740634,-2.8072039300392255,-2.437378235816013,-1.2260023794380959,-2.8301219167500884,-3.3877774919935026
sll0542,acs,acsA acs sll0542,-0.007304894666376541,0.04897987270875919,0.24109495762779456,0.011695168394688314,0.058824277004602785,-0.05268360723940646,0.159606343176788,0.10956786586204426,-0.07110509208246152,0.23311363836917492,0.27940796114565347,-0.006129427932291946
sll1900,act,act,0.0276883760742945,0.19674800453801317,0.15241034333745787,0.03573320409052997,0.09697336369287533,0.16979871079412778,0.28816020300430845,0.1542360308350133,0.0824440583741686,-0.020028244311152882,0.15853847585372474,0.14202069749513752
